,flight,plane,city1,city2,city3,city4,city5,remarks,flight_account,flight_num
251,CA7503/4,73G,呼和浩特,长沙,呼和浩特,NA,NA,执行日期0701-1024执行,7,1234567
252,KN2289/90,73G,北京南苑,鄂尔多斯,北京南苑,NA,NA,或738执行,7,1234567
253,KN2291/2,73G,北京南苑,海拉尔,北京南苑,NA,NA,或738执行,7,1234567
254,KN2923/4,73G,北京南苑,长治,北京南苑,NA,NA,或738执行,7,1234567
255,KN2935/6,73G,北京南苑,满洲里,北京南苑,NA,NA,或738执行,7,1234567
256,KN2937/8,73G,北京南苑,呼和浩特,北京南苑,NA,NA,或738执行,7,1234567
257,KN2943/4,73G,北京南苑,长治,北京南苑,NA,NA,NA,7,1234567
258,KN2945/6,73G,北京南苑,包头,北京南苑,NA,NA,NA,7,1234567
259,MU2095/6,73G,太原,运城,厦门,运城,太原,"执行日期：0327-1029；_x000D_
取消：0501-0531_x000D_
取消：0601-0630_x000D_
取消：0701-0731_x000D_
取消：0801-0831_x000D_
取消：0901-0930_x000D_
取消：1001-1029",4,1..456.
260,MU2169/70,73G,太原,运城,福州,运城,太原,执行日期：0728-1029,2,...4.6.
261,MU2169/70,73G,太原,运城,福州,运城,太原,"执行日期：0327-1029_x000D_
取消：0728-1029",2,....5.7
262,MU2169/70,73G,太原,运城,福州,运城,太原,"执行日期：0327-1029_x000D_
取消：0901-0930",2,.23....
263,MU2275,73G,太原,长沙,三亚,NA,NA,"执行日期1001-1029执行_x000D_
取消：1001-1029",7,1234567
264,MU2276,73G,三亚,长沙,太原,NA,NA,执行日期1001-1029执行,3,.2.4.6.
265,MU2276,73G,三亚,长沙,太原,NA,NA,执行日期1001-1029执行,4,1.3.5.7
266,MU2293,73G,太原,长沙,海口,NA,NA,执行日期1001-1029执行,7,1234567
267,MU2363,73G,太原,武汉,深圳,NA,NA,NA,7,1234567
268,MU2364,73G,深圳,武汉,太原,NA,NA,NA,7,1234567
269,MU2405,73G,石家庄,西安,库尔勒,NA,NA,"执行日期：3月27-10月29日；_x000D_
取消：0501-0531_x000D_
取消：0601-0630_x000D_
取消：0701-0731_x000D_
取消：0801-0831_x000D_
取消：0901-0930_x000D_
取消：1001-1029",1,....5..
270,MU2405,73G,石家庄,西安,库尔勒,NA,NA,NA,3,1.3...7
271,MU2406,73G,库尔勒,西安,石家庄,NA,NA,NA,4,1.3.5.7
274,MU5205/6,73G,太原,运城,海口,运城,太原,"执行日期1001-1029执行_x000D_
取消：1001-1029",4,1.3.5.7
275,MU5233/4,73G,太原,成都,太原,NA,NA,NA,7,1234567
276,MU5253,73G,太原,南京,福州,NA,NA,NA,7,1234567
277,MU5254,73G,福州,南京,太原,NA,NA,NA,7,1234567
278,MU5292,73G,北京首都,太原,NA,NA,NA,NA,7,1234567
279,MU5439/40,73G,石家庄,成都,石家庄,NA,NA,NA,7,1234567
280,MU5651/2,73G,太原,无锡,厦门,无锡,太原,执行日期：1001-1029,3,.2.4.6.
281,GS6401/2,DON,天津,杭州,天津,NA,NA,货运航班，执行日期：3月27至10月29,7,1234567
282,GS6417/8,E90,北京首都,海拉尔,北京首都,NA,NA,执行日期0501-1029执行,7,1234567
283,GS6531/2,E90,包头,西安,南宁,西安,包头,执行日期：5月4-6月30日；,4,1.3.5.7
284,GS6531/2,E90,包头,西安,南宁,西安,包头,执行日期：5月4-6月30日；临时取消：0606-0630,3,.2.4.6.
285,GS6533/4,E90,太原,贵阳,南宁,贵阳,太原,"执行日期:0327-1029；_x000D_
取消：0705-0731",2,1...5..
286,GS6533/4,E90,太原,贵阳,南宁,贵阳,太原,执行日期:0327-1029；,3,.2.4.6.
287,GS6533/4,E90,太原,贵阳,南宁,贵阳,太原,"执行日期:0327-1029；临时取消：0606-0630_x000D_
取消：0705-0731",2,..3...7
288,GS6559/60,E90,鄂尔多斯,天津,大连,天津,鄂尔多斯,或ERJ145执行,7,1234567
289,GS6603/4,E90,天津,宁波,天津,NA,NA,或ERJ145执行,7,1234567
290,GS6605/6,E90,天津,海拉尔,天津,NA,NA,或ERJ145执行 执行日期0501-1029执行,7,1234567
291,GS6609/10,E90,天津,郑州,贵阳,郑州,天津,或ERJ145执行,1,..3....
292,GS6609/10,E90,天津,郑州,贵阳,郑州,天津,或ERJ145执行,6,12.4567
293,GS6611/2,E90,天津,无锡,天津,NA,NA,"或ERJ145执行；_x000D_
执行日期：0327-1029_x000D_
取消：0510-0531；_x000D_
取消：0606-0630_x000D_
取消：0705-0731_x000D_
取消：0811-0831",4,1.3.5.7
294,GS6611/2,E90,天津,无锡,天津,NA,NA,或ERJ145执行,3,.2.4.6.
