hsp.hsp,mv10.mv10,mv20.mv20,vol10.vol10,vol20.vol20,rsi5.rsi5,rsi14.rsi14,macd.macd1,signal.macd1,macd.macd2,signal.macd2,dn,mavg,up,pctB,Direction
1419.2,1409.243,1373.1835,11.09284659,41.2197877,80.67463106,76.86507693,3.281222692,1.726299069,2.816557292,3.444340225,1292.831341,1373.1835,1453.535659,0.786342649,-2
1346.09,1404.34,1376.2185,22.74474152,36.36400885,9.730389437,51.45397215,3.096296888,2.071392905,1.915917733,3.079975522,1305.331997,1376.2185,1447.105003,0.287487754,1
1357.13,1400.657,1378.1745,27.16473247,34.04648857,21.31941455,48.54238232,2.970113107,2.338196019,1.399351098,2.601044787,1311.805676,1378.1745,1444.543324,0.341457942,2
1372.25,1395.849,1380.0425,27.5480717,32.53812952,31.25528914,51.81482286,2.603275401,2.514762744,0.781471792,2.050155843,1316.614009,1380.0425,1443.470991,0.438572558,1
1373.42,1392.09,1381.8025,27.812806,31.07601171,27.66399525,52.28704227,2.258927525,2.617828351,0.270480043,1.436755592,1321.224201,1381.8025,1442.380799,0.430812683,-2
1336.64,1386.453,1381.958,32.86008726,30.82854549,19.91692173,37.54472653,1.638224625,2.613945027,-0.521061938,0.769231746,1321.862101,1381.958,1442.053899,0.122952638,1
1345.19,1379.104,1382.64,33.06902821,29.78802479,49.38067713,39.92979558,1.062503576,2.495959777,-1.328307751,0.120386649,1324.57245,1382.64,1440.70755,0.17753074,1
1356.03,1373.664,1383.469,31.79308248,28.73487994,49.24096053,35.81325567,0.637678794,2.28282607,-2.03972767,-0.567429105,1327.454407,1383.469,1439.483593,0.255072754,1
1358.12,1368.264,1383.2045,28.9987602,28.95275852,38.11206461,37.94612334,0.157134239,1.967264094,-1.896749799,-1.103073423,1326.765183,1383.2045,1439.643817,0.277774595,2
1374.17,1363.824,1383.718,23.27469785,28.68216677,50.50464271,45.66777042,-0.172721598,1.583492506,-1.757232533,-1.508615938,1327.806164,1383.718,1439.629836,0.414615575,-1
