date,op,cp
2013-10-21,2431.92,2471.32
2013-10-22,2470.25,2445.89
2013-10-23,2451.56,2418.49
2013-10-24,2412.24,2400.51
2013-10-25,2400.52,2368.56
2013-10-28,2372.57,2365.95
2013-10-29,2369.22,2372.05
2013-10-30,2371.85,2407.47
2013-10-31,2398.4,2373.72
2013-11-01,2373.96,2384.96
2013-11-04,2397.21,2380.45
2013-11-05,2366.88,2383.77
2013-11-06,2371.32,2353.57
2013-11-07,2351.87,2340.55
2013-11-08,2329.08,2307.95
2013-11-11,2305.94,2315.89
2013-11-12,2319.36,2340
2013-11-13,2325.36,2288.12
2013-11-14,2291.27,2304.5
2013-11-15,2306.55,2350.73
2013-11-18,2367.88,2428.9
2013-11-19,2427.93,2412.16
2013-11-20,2428.77,2424.85
2013-11-21,2412.45,2409.99
2013-11-22,2415.29,2397.96
2013-11-25,2385.78,2388.63
2013-11-26,2387.83,2387.42
2013-11-27,2386.36,2414.48
2013-11-28,2419.15,2439.53
2013-11-29,2442.68,2438.94
2013-12-02,2423.97,2418.79
2013-12-03,2410.69,2442.78
2013-12-04,2439.82,2475.14
2013-12-05,2476.45,2468.2
2013-12-06,2463.04,2452.29
2013-12-09,2460.03,2450.87
2013-12-10,2456.23,2453.32
2013-12-11,2440.5,2412.76
2013-12-12,2406.77,2410.01
2013-12-13,2388.66,2406.64
2013-12-16,2408.68,2367.92
2013-12-17,2369.25,2356.38
2013-12-18,2356.7,2357.23
2013-12-19,2366.21,2332.41
2013-12-20,2335.05,2278.14
2013-12-23,2283.8,2284.6
2013-12-24,2291.13,2288.25
2013-12-25,2291.75,2305.11
2013-12-26,2299.97,2265.33
2013-12-27,2268.53,2303.48
2013-12-30,2313.38,2299.46
2013-12-31,2289.01,2330.03
2014-01-02,2323.43,2321.98
2014-01-03,2311.97,2290.78
2014-01-06,2286.37,2238.64
2014-01-07,2222.31,2238
2014-01-08,2240.64,2241.91
2014-01-09,2236.97,2222.22
2014-01-10,2216.52,2204.85
2014-01-13,2207,2193.68
2014-01-14,2192.84,2212.85
2014-01-15,2210.02,2208.94
2014-01-16,2209.45,2211.84
2014-01-17,2203.82,2178.49
2014-01-20,2173.65,2165.99
2014-01-21,2168.42,2187.41
2014-01-22,2190.43,2243.8
2014-01-23,2242.25,2231.89
2014-01-24,2225.76,2245.68
2014-01-27,2233.01,2215.92
2014-01-28,2220.78,2219.86
2014-01-29,2225.71,2227.78
2014-01-30,2223.16,2202.45
2014-02-07,2187.34,2212.48
2014-02-10,2221.54,2267.53
2014-02-11,2267.74,2285.56
2014-02-12,2286.19,2291.25
2014-02-13,2288.45,2279.55
2014-02-14,2278.4,2295.58
2014-02-17,2308.79,2311.65
2014-02-18,2310.31,2282.44
2014-02-19,2280.93,2308.66
2014-02-20,2314.09,2287.44
2014-02-21,2284.03,2264.29
2014-02-24,2246.72,2214.51
2014-02-25,2216.51,2157.91
2014-02-26,2147.74,2163.41
2014-02-27,2170.81,2154.11
2014-02-28,2149.45,2178.97
2014-03-03,2173.91,2190.37
2014-03-04,2183.86,2184.27
2014-03-05,2187.35,2163.98
2014-03-06,2159.4,2173.63
2014-03-07,2170.04,2168.36
2014-03-10,2149.68,2097.79
2014-03-11,2092.61,2108.66
2014-03-12,2102.8,2114.13
2014-03-13,2119.55,2140.33
2014-03-14,2129.87,2122.84
2014-03-17,2132.79,2143.04
2014-03-18,2146.12,2138.13
2014-03-19,2131.28,2120.87
2014-03-20,2116.19,2086.97
2014-03-21,2079.87,2158.8
2014-03-24,2161.9,2176.55
2014-03-25,2170.78,2174.44
2014-03-26,2181.23,2171.05
2014-03-27,2168.34,2155.71
2014-03-28,2154.51,2151.97
2014-03-31,2156.05,2146.31
2014-04-01,2143.72,2163.12
2014-04-02,2166.07,2180.73
2014-04-03,2188.64,2165.01
2014-04-04,2157.98,2185.47
2014-04-08,2179.92,2237.32
2014-04-09,2239.79,2238.62
2014-04-10,2241.45,2273.76
2014-04-11,2269.57,2270.67
2014-04-14,2267.94,2268.61
2014-04-15,2261.41,2229.46
2014-04-16,2223.47,2232.53
2014-04-17,2238.78,2224.8
2014-04-18,2215.88,2224.48
2014-04-21,2209.94,2187.25
2014-04-22,2184.02,2196.8
2014-04-23,2191.23,2194.67
2014-04-24,2192.77,2190.47
2014-04-25,2195.82,2167.83
2014-04-28,2165.77,2134.97
2014-04-29,2134.41,2158.47
2014-04-30,2158.76,2158.66
2014-05-05,2152.59,2156.47
2014-05-06,2151.39,2157.33
2014-05-07,2151.47,2137.32
2014-05-08,2132.04,2135.5
2014-05-09,2138.84,2133.91
2014-05-12,2150.31,2180.05
2014-05-13,2180.06,2174.85
2014-05-14,2175.09,2172.37
2014-05-15,2169.28,2144.08
2014-05-16,2143.93,2145.95
2014-05-19,2139.36,2115.14
2014-05-20,2124.71,2115.77
2014-05-21,2106.76,2135.91
2014-05-22,2134.09,2130.87
2014-05-23,2130.77,2148.41
2014-05-26,2161.89,2155.98
2014-05-27,2154.4,2147.28
2014-05-28,2147.47,2169.35
